Name, Total Sales , Adult-Use Sales , Medical Sales ,Address,City,State,Zip,Month,Year,
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$25,142.79","$23,847.47","$1,295.32",1600 E OHara Rd,Anthony,NM,88021,April,2025,
MEDD LLC - PALOMA BLANCA RETAIL,"$77,457.10","$72,249.29","$5,207.81",170 McCombs,Chaparral,NM,88081,April,2025,
"NEBRO, LLC","$105,572.58","$101,354.39","$4,218.19",1999 Futurity Drive Unit A,Sunland Park,NM,88063,April,2025,
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$18,286.54","$18,035.44",$251.10,1845 McNutt Rd,Sunland Park,NM,88063,April,2025,
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$44,971.74","$36,336.71","$8,635.03",1155 McNutt Road,Sunland Park,NM,88063,April,2025,
NUVES LLC - RANCH ROAD RETAIL,"$30,865.73","$30,597.72",$268.01,101 Maguey Suite 4,Sunland Park,NM,88063,April,2025,
OBI WAN CANNABIS LLC,"$33,831.11","$33,284.64",$546.47,2167 McNutt Rd suite A,Sunland Park,NM,88063,April,2025,
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$117,213.89","$113,444.03","$3,769.86",1541 Appaloosa Unit 7,Sunland Park,NM,88063,April,2025,
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$129,883.10","$124,470.60","$5,412.50",1925 Appaloosa Dr,Sunland Park,NM,88063,April,2025,
PROHIBITION 37 - MCNUTT RD RETAIL,"$108,164.72","$93,547.18","$14,617.54",871 McNutt Rd,Sunland Park,NM,88063,April,2025,
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$119,652.82","$113,498.75","$6,154.07","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,April,2025,
RH AND MC LLC - MILLER ST RETAIL,"$25,778.91","$19,913.08","$5,865.83",103 Miller St,Anthony,NM,88021,April,2025,
"RMC NM, INC - ANTHONY RETAIL","$84,357.10","$71,981.77","$12,375.33",138 Anthony Dr,Anthony,NM,88021,April,2025,
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$20,515.35","$18,940.48","$1,574.87",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,April,2025,
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$12,928.72","$12,244.35",$684.37,101 Angelina Blvd,Chaparral,NM,88081,April,2025,
SCORE 420 - MCNUTT RETAIL,"$55,979.05","$50,255.22","$5,723.83",2355 McNutt Road,Sunland Park,NM,88063,April,2025,
SEVEN NINE GROW LLC - EL PASEO DR RETAIL,$92.12,$92.12,,305 S County Line Rd,Chaparral,NM,88081,April,2025,
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$188,834.39","$186,831.40","$2,002.99",100 Arch Angel Way,Chaparral,NM,88081,April,2025,
ST CANAPA LLC - MCNUTT RD RETAIL,"$21,573.53","$20,500.18","$1,073.35",5305 McNutt Rd,Santa Teresa,NM,88008,April,2025,
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$838,940.03","$801,638.62","$37,301.42",1051 McNutt Rd,Sunland Park,NM,88063,April,2025,
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$6,283.08","$5,798.12",$484.96,267 Anapra Rd,Sunland Park,NM,88063,April,2025,
TEN 10 PROJECT LLC- APPOLOOSA DR RETAIL,"$43,195.01","$42,810.51",$384.50,1925 Appoloosa Dr,Sunland Park,NM,88063,April,2025,
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$27,429.74","$24,642.77","$2,786.97",3100 S Highway 28,Anthony,NM,88021,April,2025,
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$62,921.07","$47,473.25","$15,447.82",401 Anthony Dr Ste B,Anthony,NM,88021,April,2025,
YERBAVIVA LLC/ RETAIL MCNUTT STE D,"$4,864.84","$4,060.78",$804.06,2327 McNutt Ste D,Sunland Park,NM,88063,April,2025,
Licensee, Total Sales , Adult-Use Sales , Medical Sales ,Address,City,State,Zip,,,
ANIMACANN INC - APPALOOSA DR RETAIL,"$67,468.26","$64,763.78","$2,704.48",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,May,2025,
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$23,014.53","$20,983.14","$2,031.39",1769 Victory Ln,Sunland Park,NM,88063,May,2025,
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$11,772.12","$11,095.55",$676.57,764 Angelina blvd,Chaparral,NM,88081,May,2025,
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$226,082.09","$209,004.66","$17,077.43",308 McCombs Rd Spc 2,Chaparral,NM,88081,May,2025,
BESOS LLC/ RETAIL FUTURITY DR,"$62,056.76","$60,450.53","$1,606.23",1805 Futurity Dr,Sunland Park,NM,88603,May,2025,
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$688,519.54","$642,556.56","$45,962.98",1500 Appaloosa St Suite B,Sunland Park,NM,88063,May,2025,
CARDIEL BOTANICA LTD CO - PALOMAS PL RETAIL,$525.59,$525.59,,100 Palomas Pl Ste B-2,Sunland Park,NM,88063,May,2025,
"CHADCOR HOLDINGS NM, LLC","$1,187,594.29","$1,143,420.62","$44,173.67",1615 Appaloosa Dr,Sunland Park,NM,88063,May,2025,
CHADCOR HOLDINGS NM- RETAIL,"$230,107.51","$216,704.81","$13,402.70", 1621 Appaloosa Dr,Sunland Park,NM,88063,May,2025,
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL,"$39,005.60","$36,664.27","$2,341.33",1290 McNutt Rd,Sunland Park,NM,88063,May,2025,
ERB HOLDINGS/ RETAIL OHARA ROAD,"$12,010.60","$11,139.30",$871.30,1400 E Ohara Road,Anthony,NM,88021,May,2025,
EVEREST APOTHECARY,"$82,422.89","$79,199.35","$3,223.54",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,May,2025,
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,154,128.06","$1,145,066.23","$9,061.83",159 Sunland Park Dr,Sunland Park,NM,88063,May,2025,
FRESHIES LLC/ RETAIL MCNUTT RD,"$50,448.28","$43,761.18","$6,687.10",5325 McNutt Rd,Santa Teresa,NM,88008,May,2025,
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$26,507.07","$24,793.59","$1,713.48",1245 Riley Way,Chaparral,NM,88081,May,2025,
GARDEN OF DREAMS CANNABIS LLC,"$33,758.15","$31,102.11","$2,656.04",5300 Mcnutt Rd,Santa Teresa,NM,88008,May,2025,
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$25,909.82","$25,556.51",$353.31,245 Derby Rd,Sunland Park,NM,88063,May,2025,
"GREEN THERAPY DISPENSARY, LLC","$408,176.95","$382,479.41","$25,697.54","460 County Line Drive, Space F",Chaparral,NM,88081,May,2025,
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$9,924.53","$8,252.43","$1,672.10",140 Schneberger Dr,Chaparral,NM,88081,May,2025,
HHNM SUNLAND PARK 1 COMPANY- MCNUTT RD. STE. D RETAIL,"$12,751.60","$11,339.67","$1,411.93",1290 McNutt Rd. Ste. D,Sunland Park,NM,88063,May,2025,
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$13,212.32","$11,957.60","$1,254.72",5620 McNutt Rd,Santa Teresa,NM,88008,May,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$69,699.24","$66,274.95","$3,424.29",1042 State Line,Chaparral,NM,88081,May,2025,
J AND J LOAN COMPANY- MCNUTT RETAIL,"$42,436.08","$42,436.08",,1144 McNutt,Sunland Park,NM,88063,May,2025,
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$22,754.85","$21,730.89","$1,023.96",1600 E OHara Rd,Anthony,NM,88021,May,2025,
MEDD LLC - PALOMA BLANCA RETAIL,"$80,330.70","$74,343.91","$5,986.79",170 McCombs,Chaparral,NM,88081,May,2025,
"NEBRO, LLC","$100,294.35","$94,534.07","$5,760.28",1999 Futurity Drive Unit A,Sunland Park,NM,88063,May,2025,
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$17,500.80","$17,385.69",$115.11,1845 McNutt Rd,Sunland Park,NM,88063,May,2025,
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$42,138.19","$33,376.77","$8,761.42",1155 McNutt Road,Sunland Park,NM,88063,May,2025,
NRG LYFT LLC,$311.52,$311.52,,875 McNutt Rd.,Sunland Park,NM,88063,May,2025,
NUVES LLC - RANCH ROAD RETAIL,"$32,873.05","$32,597.38",$275.67,101 Maguey Suite 4,Sunland Park,NM,88063,May,2025,
OBI WAN CANNABIS LLC,"$31,301.39","$30,675.14",$626.25,2167 McNutt Rd suite A,Sunland Park,NM,88063,May,2025,
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$106,781.45","$103,046.24","$3,735.21",1541 Appaloosa Unit 7,Sunland Park,NM,88063,May,2025,
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$127,356.55","$120,985.63","$6,370.92",1925 Appaloosa Dr,Sunland Park,NM,88063,May,2025,
PROHIBITION 37 - MCNUTT RD RETAIL,"$92,866.38","$84,339.32","$8,527.06",871 McNutt Rd,Sunland Park,NM,88063,May,2025,
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$119,174.58","$111,851.55","$7,323.03","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,May,2025,
RH AND MC LLC - MILLER ST RETAIL,"$25,652.42","$21,065.04","$4,587.38",103 Miller St,Anthony,NM,88021,May,2025,
"RMC NM, INC - ANTHONY RETAIL","$94,434.70","$81,024.31","$13,410.39",138 Anthony Dr,Anthony,NM,88021,May,2025,
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$16,745.08","$15,628.93","$1,116.15",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,May,2025,
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$12,996.39","$12,561.86",$434.53,101 Angelina Blvd,Chaparral,NM,88081,May,2025,
SCORE 420 - MCNUTT RETAIL,"$55,678.02","$51,085.43","$4,592.59",2355 McNutt Road,Sunland Park,NM,88063,May,2025,
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$199,108.53","$195,921.11","$3,187.42",100 Arch Angel Way,Chaparral,NM,88081,May,2025,
ST CANAPA LLC - MCNUTT RD RETAIL,"$22,344.42","$21,327.63","$1,016.79",5305 McNutt Rd,Santa Teresa,NM,88008,May,2025,
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$862,370.05","$828,887.90","$33,482.14",1051 McNutt Rd,Sunland Park,NM,88063,May,2025,
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$6,510.74","$6,122.09",$388.65,267 Anapra Rd,Sunland Park,NM,88063,May,2025,
TEN 10 PROJECT LLC- APPOLOOSA DR RETAIL,"$38,087.63","$37,418.42",$669.21,1925 Appoloosa Dr,Sunland Park,NM,88063,May,2025,
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$26,048.21","$23,427.62","$2,620.59",3100 S Highway 28,Anthony,NM,88021,May,2025,
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$71,125.05","$55,404.77","$15,720.28",401 Anthony Dr Ste B,Anthony,NM,88021,May,2025,
YERBAVIVA LLC/ RETAIL MCNUTT STE D,"$1,456.66","$1,221.47",$235.19,2327 McNutt Ste D,Sunland Park,NM,88063,May,2025,
Name, Total Sales , Adult-Use Sales , Medical Sales ,Address,City,State,Zip,Month,,
ANIMACANN INC - APPALOOSA DR RETAIL,"$59,699.39","$57,914.73","$1,784.66",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,June,2025,
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$29,410.83","$27,033.02","$2,377.81",1769 Victory Ln,Sunland Park,NM,88063,June,2025,
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$13,130.28","$12,164.65",$965.63,764 Angelina blvd,Chaparral,NM,88081,June,2025,
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$210,392.79","$193,741.77","$16,651.02",308 McCombs Rd Spc 2,Chaparral,NM,88081,June,2025,
BESOS LLC/ RETAIL FUTURITY DR,"$27,181.93","$26,557.11",$624.82,1805 Futurity Dr,Sunland Park,NM,88603,June,2025,
COOKIES - BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$657,365.07","$613,339.56","$44,025.51",1500 Appaloosa St Suite B,Sunland Park,NM,88063,June,2025,
"DARK MATTER - CHADCOR HOLDINGS NM, LLC","$1,080,051.06","$1,040,192.75","$39,858.31",1615 Appaloosa Dr,Sunland Park,NM,88063,June,2025,
TOP CROP - CHADCOR HOLDINGS NM- RETAIL,"$273,197.76","$257,450.73","$15,747.03", 1621 Appaloosa Dr,Sunland Park,NM,88063,June,2025,
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL,"$38,146.75","$35,690.52","$2,456.23",1290 McNutt Rd,Sunland Park,NM,88063,June,2025,
ERB HOLDINGS/ RETAIL OHARA ROAD,"$11,885.86","$10,964.55",$921.31,1400 E Ohara Road,Anthony,NM,88021,June,2025,
EVEREST APOTHECARY,"$82,043.11","$78,362.79","$3,680.32",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,June,2025,
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,112,664.63","$1,101,883.73","$10,780.90",159 Sunland Park Dr,Sunland Park,NM,88063,June,2025,
FRESHIES LLC/ RETAIL MCNUTT RD,"$47,449.67","$40,661.84","$6,787.83",5325 McNutt Rd,Santa Teresa,NM,88008,June,2025,
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$21,948.37","$20,073.72","$1,874.65",1245 Riley Way,Chaparral,NM,88081,June,2025,
GARDEN OF DREAMS CANNABIS LLC,"$29,888.54","$28,382.42","$1,506.12",5300 Mcnutt Rd,Santa Teresa,NM,88008,June,2025,
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$28,904.80","$27,884.00","$1,020.80",245 Derby Rd,Sunland Park,NM,88063,June,2025,
"GREEN THERAPY DISPENSARY, LLC","$388,742.62","$364,658.62","$24,084.00","460 County Line Drive, Space F",Chaparral,NM,88081,June,2025,
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$7,763.32","$6,687.83","$1,075.49",140 Schneberger Dr,Chaparral,NM,88081,June,2025,
HHNM SUNLAND PARK 1 COMPANY- MCNUTT RD. STE. D RETAIL,"$4,159.02","$3,917.44",$241.58,1290 McNutt Rd. Ste. D,Sunland Park,NM,88063,June,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$72,048.39","$68,589.25","$3,459.14",1042 State Line,Chapparal,NM,88081,June,2025,
J AND J LOAN COMPANY- MCNUTT RETAIL,"$40,511.81","$40,491.81",$20.00,1144 McNutt,Sunland Park,NM,88063,June,2025,
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$19,861.33","$18,593.78","$1,267.55",1600 E OHara Rd,Anthony,NM,88021,June,2025,
MEDD LLC - PALOMA BLANCA RETAIL,"$82,264.73","$73,764.73","$8,500.00",170 McCombs,Chaparral,NM,88081,June,2025,
"ELEVATION - NEBRO, LLC","$93,648.89","$88,067.78","$5,581.11",1999 Futurity Drive Unit A,Sunland Park,NM,88063,June,2025,
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$7,438.22","$7,396.06",$42.16,1845 McNutt Rd,Sunland Park,NM,88063,June,2025,
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$39,580.28","$32,366.63","$7,213.65",1155 McNutt Road,Sunland Park,NM,88063,June,2025,
NUVES LLC - RANCH ROAD RETAIL,"$27,564.87","$27,534.87",$30.00,101 Maguey Suite 4,Sunland Park,NM,88063,June,2025,
OBI WAN CANNABIS LLC,"$25,155.22","$24,675.68",$479.54,2167 McNutt Rd suite A,Sunland Park,NM,88063,June,2025,
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$114,665.23","$111,128.93","$3,536.30",1541 Appaloosa Unit 7,Sunland Park,NM,88063,June,2025,
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$108,252.96","$102,135.05","$6,117.91",1925 Appaloosa Dr,Sunland Park,NM,88063,June,2025,
PROHIBITION 37 - MCNUTT RD RETAIL,"$84,494.76","$76,042.36","$8,452.40",871 McNutt Rd,Sunland Park,NM,88063,June,2025,
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$104,961.30","$99,152.03","$5,809.27","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,June,2025,
RH AND MC LLC - MILLER ST RETAIL,"$23,682.62","$18,293.20","$5,389.42",103 Miller St,Anthony,NM,88021,June,2025,
"RMC NM, INC - ANTHONY RETAIL","$88,781.39","$76,101.77","$12,679.62",138 Anthony Dr,Anthony,NM,88021,June,2025,
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$14,065.92","$12,910.04","$1,155.88",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,June,2025,
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$13,073.15","$12,324.99",$748.16,101 Angelina Blvd,Chaparral,NM,88081,June,2025,
SCORE 420 - MCNUTT RETAIL,"$54,064.69","$49,376.13","$4,688.56",2355 McNutt Road,Sunland Park,NM,88063,June,2025,
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$190,035.53","$188,508.92","$1,526.61",100 Arch Angel Way,Chaparral,NM,88081,June,2025,
ST CANAPA LLC - MCNUTT RD RETAIL,"$25,343.79","$24,369.23",$974.56,5305 McNutt Rd,Santa Teresa,NM,88008,June,2025,
MANGO - SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$852,554.59","$815,262.24","$37,292.35",1051 McNutt Rd,Sunland Park,NM,88063,June,2025,
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$3,724.76","$3,050.38",$674.38,267 Anapra Rd,Sunland Park,NM,88063,June,2025,
TEN 10 PROJECT LLC- APPOLOOSA DR RETAIL,"$33,610.34","$33,186.34",$424.00,1925 Appoloosa Dr,Sunland Park,NM,88063,June,2025,
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$22,616.35","$20,213.30","$2,403.05",3100 S Highway 28,Anthony,NM,88021,June,2025,
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$65,928.62","$51,966.77","$13,961.85",401 Anthony Dr Ste B,Anthony,NM,88021,June,2025,
YERBAVIVA LLC/ RETAIL MCNUTT STE D,$923.43,$765.26,$158.17,2327 McNutt Ste D,Sunland Park,NM,88063,June,2025,
Name, Total Sales , Adult-Use Sales , Medical Sales ,Address,City,State,Zip,,,
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,183,972.41","$1,171,728.85","$12,243.56",159 Sunland Park Dr,Sunland Park,NM,88063,July,2025,
"CHADCOR HOLDINGS NM, LLC","$1,087,860.32","$1,052,406.54","$35,453.78",1615 Appaloosa Dr,Sunland Park,NM,88063,July,2025,
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$874,384.60","$839,298.75","$35,085.85",1051 McNutt Rd,Sunland Park,NM,88063,July,2025,
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$652,486.89","$609,773.29","$42,713.60",1500 Appaloosa St Suite B,Sunland Park,NM,88063,July,2025,
"GREEN THERAPY DISPENSARY, LLC","$386,442.94","$361,379.42","$25,063.52","460 County Line Drive, Space F",Chaparral,NM,88081,July,2025,
CHADCOR HOLDINGS NM- RETAIL,"$264,555.88","$251,756.83","$12,799.05", 1621 Appaloosa Dr,Sunland Park,NM,88063,July,2025,
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$203,538.52","$190,399.15","$13,139.37",308 McCombs Rd Spc 2,Chaparral,NM,88081,July,2025,
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$201,195.39","$199,960.06","$1,235.33",100 Arch Angel Way,Chaparral,NM,88081,July,2025,
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$128,503.67","$124,439.57","$4,064.10",1541 Appaloosa Unit 7,Sunland Park,NM,88063,July,2025,
"RMC NM, INC - ANTHONY RETAIL","$103,480.45","$88,347.87","$15,132.58",138 Anthony Dr,Anthony,NM,88021,July,2025,
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$98,228.94","$93,340.56","$4,888.38","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,July,2025,
"NEBRO, LLC","$90,147.67","$85,842.13","$4,305.54",1999 Futurity Drive Unit A,Sunland Park,NM,88063,July,2025,
MEDD LLC - PALOMA BLANCA RETAIL,"$90,144.77","$85,504.01","$4,640.76",170 McCombs,Chaparral,NM,88081,July,2025,
PROHIBITION 37 - MCNUTT RD RETAIL,"$89,923.15","$80,526.23","$9,396.92",871 McNutt Rd,Sunland Park,NM,88063,July,2025,
EVEREST APOTHECARY,"$79,406.58","$76,509.14","$2,897.44",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,July,2025,
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$77,035.04","$74,505.85","$2,529.19",1925 Appaloosa Dr,Sunland Park,NM,88063,July,2025,
"$77,035.04",,,,,Sunland Park,,,July,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$72,926.37","$68,534.57","$4,391.80",1042 State Line,Chapparal,NM,88081,July,2025,
J AND J LOAN COMPANY- MCNUTT RETAIL,"$68,558.65","$68,283.22",$275.43,1144 McNutt,Sunland Park,NM,88063,July,2025,
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$64,115.56","$48,511.65","$15,603.91",401 Anthony Dr Ste B,Anthony,NM,88021,July,2025,
SCORE 420 - MCNUTT RETAIL,"$62,225.08","$57,880.40","$4,344.68",2355 McNutt Road,Sunland Park,NM,88063,July,2025,
ANIMACANN INC - APPALOOSA DR RETAIL,"$51,858.69","$50,521.16","$1,337.53",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,July,2025,
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,"$45,062.83","$42,029.12","$3,033.71",1290 McNutt Rd,Sunland Park,NM,88063,July,2025,
FRESHIES LLC/ RETAIL MCNUTT RD,"$42,042.27","$36,707.53","$5,334.74",5325 McNutt Rd,Santa Teresa,NM,88008,July,2025,
BESOS LLC/ RETAIL FUTURITY DR,"$40,731.13","$40,155.59",$575.54,1805 Futurity Dr,Sunland Park,NM,88603,July,2025,
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$38,536.01","$30,638.60","$7,897.41",1155 McNutt Road,Sunland Park,NM,88063,July,2025,
NUVES LLC - RANCH ROAD RETAIL,"$33,182.12","$33,022.12",$160.00,101 Maguey Suite 4,Sunland Park,NM,88063,July,2025,
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$33,170.86","$32,475.84",$695.02,245 Derby Rd,Sunland Park,NM,88063,July,2025,
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$33,021.67","$30,954.22","$2,067.45",1769 Victory Ln,Sunland Park,NM,88063,July,2025,
GARDEN OF DREAMS CANNABIS LLC,"$32,431.72","$30,382.93","$2,048.79",5300 Mcnutt Rd,Santa Teresa,NM,88008,July,2025,
TEN 10 PROJECT LLC- APPOLOOSA DR RETAIL,"$31,724.80","$31,448.30",$276.50,1925 Appoloosa Dr,Sunland Park,NM,88063,July,2025,
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$27,121.57","$25,196.40","$1,925.17",1600 E OHara Rd,Anthony,NM,88021,July,2025,
OBI WAN CANNABIS LLC,"$26,043.13","$25,564.48",$478.65,2167 McNutt Rd suite A,Sunland Park,NM,88063,July,2025,
RH AND MC LLC - MILLER ST RETAIL,"$25,683.78","$20,513.97","$5,169.80",103 Miller St,Anthony,NM,88021,July,2025,
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$24,683.53","$21,767.33","$2,916.20",3100 S Highway 28,Anthony,NM,88021,July,2025,
ST CANAPA LLC - MCNUTT RD RETAIL,"$21,418.75","$20,707.84",$710.91,5305 McNutt Rd,Santa Teresa,NM,88008,July,2025,
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$20,010.28","$18,066.31","$1,943.97",1245 Riley Way,Chaparral,NM,88081,July,2025,
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$15,331.77","$13,596.03","$1,735.74",764 Angelina blvd,Chaparral,NM,88081,July,2025,
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$12,549.52","$11,929.23",$620.29,101 Angelina Blvd,Chaparral,NM,88081,July,2025,
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$11,458.08","$10,177.89","$1,280.19",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,July,2025,
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,"$9,524.11","$9,524.11",,101 Stephanie,Chaparral,NM,880081,July,2025,
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$8,340.36","$6,987.51","$1,352.85",140 Schneberger Dr,Chaparral,NM,88081,July,2025,
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$4,008.29","$3,293.19",$715.10,267 Anapra Rd,Sunland Park,NM,88063,July,2025,
ERB HOLDINGS/ RETAIL OHARA ROAD,"$1,974.90","$1,702.48",$272.42,1400 E Ohara Road,Anthony,NM,88021,July,2025,
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,"$1,824.97","$1,684.77",$140.20,305 S County Line Dr,Chaparral,NM,88081,July,2025,
YERBAVIVA LLC/ RETAIL MCNUTT STE D,$980.21,$304.12,$676.09,2327 McNutt Ste D,Sunland Park,NM,88063,July,2025,
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,$12.36,$12.36,,5620 McNutt Rd,Santa Teresa,NM,88008,July,2025,
Name, Total Sales , Adult-Use Sales , Medical Sales ,Address,City,State,Zip,,,
TWISTED CANNABIS- VICTORY DR RETAIL,$505.00,$505.00,,1979 Victory Dr Ste 9,Sunland Park,NM,88063,August,2025,
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$4,467.63","$3,777.59",$690.04,267 Anapra Rd,Sunland Park,NM,88063,August,2025,
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$921,498.13","$885,873.32","$35,624.82",1051 McNutt Rd,Sunland Park,NM,88063,August,2025,
SCORE 420 - MCNUTT RETAIL,"$66,428.81","$61,797.81","$4,631.00",2355 McNutt Road,Sunland Park,NM,88063,August,2025,
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$13,306.03","$12,223.99","$1,082.04",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,August,2025,
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$102,398.85","$96,279.78","$6,119.07","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,August,2025,
PROHIBITION 37 - MCNUTT RD RETAIL,"$96,009.83","$86,463.32","$9,546.51",871 McNutt Rd,Sunland Park,NM,88063,August,2025,
